Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ 12-23,Buy,1,15881.00,11/16/2023 2:44:18 PM,f4fd6a1ccde24d5480948a591974f449,Exit,1 S,4b1b4cdbd34440778e6cbef6662b8826,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15881.00,11/16/2023 2:44:18 PM,216de3c69b644c4db2f7bf02217e3032,Exit,-,89384d4af1c24629a9d22e9bfac3b6e0,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15891.25,11/16/2023 2:47:19 PM,48b0de0cbdb54d9aac57c2326d9cf716,Entry,1 L,f00e9e36c28c440c9eb7a2e8dc73b000,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15881.25,11/16/2023 2:51:37 PM,8beaa30f80824a40897490fdeede3acc,Exit,-,17cfdbcd4a384a1b9d8e9661bf242733,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15853.75,11/17/2023 11:13:08 AM,e338b0779e9942ff82bd9ce3f520b8d3,Entry,1 L,4cdf8a484fa74dc9b89357675f4f350f,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15843.75,11/17/2023 11:15:36 AM,b5e81d93975f4cb0853492a2b8da5e28,Exit,-,12ba422679fb4adf9d064dc701e6e17d,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15841.50,11/17/2023 11:20:17 AM,095e8fd96c1f4ef6bb73e2d5b0a2d8ec,Entry,1 S,9a57c1f5154c42fb8e497986a3b6ea43,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15851.75,11/17/2023 11:21:56 AM,507fbdc0f3e74e81aa1eead2cd6e22ae,Entry,2 S,399dcc2596e046d8ba0914b749f49dcb,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15862.25,11/17/2023 11:23:38 AM,7d66c01e61184dfd89e726492608f822,Exit,1 S,926585cc560b4697993688fbb32d1079,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15862.25,11/17/2023 11:23:38 AM,57152fb96f18489e87508c2cb56c2bdf,Exit,-,d6d7a80a8b824862bcd0b11d814c60c2,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15862.25,11/17/2023 11:23:58 AM,6855570b5c014e9bb35b153e62072165,Entry,1 S,6be99fb24b17401489ef345f23195082,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15852.25,11/17/2023 11:25:38 AM,e7f606268167449fb755dd8644e9e528,Exit,-,0be6b24d89d945228e4c9078e2149dec,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15856.75,11/17/2023 11:28:33 AM,0126ddd73cb04faf92a4637d4ade2fe4,Entry,1 S,b4c0c1c92d474dab8e1f422c7283ee70,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15863.00,11/17/2023 11:39:32 AM,c79619fa15724c4a9bc55989698a9db4,Entry,2 S,eb60a5bea88c4059be927629083c438b,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15850.75,11/17/2023 11:40:38 AM,a1dafb572be9442986b5d8ad701ffa20,Entry,3 S,6cdd5f7f20d9457e83bbe5a31e04b6c0,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15859.50,11/17/2023 11:41:01 AM,af0f60e1005b444199e8329713d70072,Exit,2 S,931f0aff0b7548409093abf0863693d4,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15859.50,11/17/2023 11:41:01 AM,674bbe4287ad4fbdbd11785eadfaf6fa,Exit,1 S,36972f67479248d4a9bc409cca58f4a9,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15859.50,11/17/2023 11:41:01 AM,51f2bd42ad70431fa33fb4733f9a20c8,Exit,-,bf7ebbb1dbcf411189f6005579d68e97,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15853.75,11/17/2023 11:41:27 AM,82a0b6d0d8534d94aee9cc521d85bba9,Entry,1 L,3d110c1093cb45e6a05afb927f061caa,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15862.25,11/17/2023 11:42:12 AM,3a23d8a3548d4142b6f537089d8a00f7,Exit,-,e9e2c61c1f494f27a279370f0fb5d8c2,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15866.00,11/17/2023 11:44:10 AM,c2ff1029eb074e24894156f195212102,Entry,1 S,9902c89b0d5f4e8a9a33ebc7da8ef861,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15856.50,11/17/2023 11:50:37 AM,55c8195e084040e8b19a05e144cb5d47,Exit,-,dbe1600004584f969926d622a0aa4406,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15859.25,11/17/2023 11:50:57 AM,053b853e23644d118df192f53d2e2b85,Entry,1 L,d6d970dfb67f4a7d81b2c4b91c08b450,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15869.25,11/17/2023 11:53:20 AM,a7c641a13f944bb28f3f8e0beeb9c722,Exit,-,8697b7ced9f24bc0ae5c336d37646a4c,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15870.50,11/17/2023 11:56:15 AM,8d78ac89d6bd4d64828d3f088d3168f3,Entry,1 S,149db78073974f58b87dd15a9dd2362e,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15876.50,11/17/2023 11:58:37 AM,e2029742a8f94db994a0356fb1a258aa,Entry,2 S,40699da9a8634f18a59238c6d127a9e3,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15883.50,11/17/2023 12:02:53 PM,205b36162f2e4df6ba41f4346301880d,Exit,1 S,a8fda72ac042469784566ab99c6f2ef8,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15883.50,11/17/2023 12:02:53 PM,5ebfeb5b66c04c0ca2c7fb7aeb6fea7c,Exit,-,552bd2053b094dc488e744ff06abc9ca,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15884.75,11/17/2023 12:03:05 PM,b411dfbff21e4586a6e6884e54d0e048,Entry,1 L,b6f05da4601c49c1a6ee4e3cd9c7ed02,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15894.75,11/17/2023 12:08:26 PM,82728b5c8b40455893ca0555f4a0ccc9,Exit,-,2e4660fae5db4d27831b23d3ae428085,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15886.25,11/17/2023 12:10:26 PM,f6efe40d74c84440a26ce11b1c263658,Entry,1 S,535a89266d954c308214ba17b83c8482,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15876.00,11/17/2023 12:21:08 PM,42a6105f317d4d0ab46a4caa7b4c2cbe,Exit,-,5f8e45e6a66741a88c84253177c616e3,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15866.00,11/17/2023 12:25:20 PM,c21e87204ceb4046a90a2efd2202593f,Entry,1 S,51b1148c04264de0af5ce266c02b0eee,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15871.75,11/17/2023 12:30:13 PM,8f4856af8a3e49beb7ccfbd1f0c85694,Entry,2 S,7d1f4688e2e84752b71a0419f04aac7b,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15878.25,11/17/2023 12:41:30 PM,cfc71f8fb5d64ea1bf0a304985439994,Exit,1 S,e810defccd7545cba1ac1b061c5d7bba,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15878.25,11/17/2023 12:41:30 PM,4bfaa13b9f134cbeb6b95d07e7d9e18a,Exit,-,0eb792e4d23245428e81fcd62bfc391a,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15879.25,11/17/2023 12:42:04 PM,4072addabe704065b42c074da072cf9d,Entry,1 L,02017e3b4a874982878671c641ea91b0,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15889.25,11/17/2023 12:55:04 PM,ebec4b3c995245879d62acd98dada452,Entry,2 L,0102bbd2aeb84920833c349685e6aa11,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15884.50,11/17/2023 12:56:08 PM,a0f62b092f884c049a2c8aaeb008b358,Exit,1 L,130620691cc74931940916effb31e336,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15884.50,11/17/2023 12:56:08 PM,4723b95131ab47a9a4060d4cd97326af,Exit,-,cc2ac5868d19495b9d632f0addb25727,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15891.25,11/17/2023 1:04:30 PM,f1ef8b9256db43f489523bd1272b2894,Entry,1 S,91758497bd0d47c1a4d2053cfaca6bca,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15901.25,11/17/2023 1:11:29 PM,d4fb3425940b4bd396b47ed59108317d,Exit,-,7e8315f039544f84813e07af97863a20,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15900.00,11/17/2023 1:53:47 PM,cbf31d55b9a245948571263a4a3c6ec4,Entry,1 L,4aa6698888b449f3b147c38981720b3b,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15910.00,11/17/2023 1:59:25 PM,980f67e6ba60430d8b98851054b9a52f,Exit,-,72ee6944933740e4a10812702f39460a,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15917.75,11/17/2023 2:01:04 PM,0b730136ea8e42abbf49bbbf947fb984,Entry,1 S,4d205047cfec425db1ae6b6f12efce2f,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15927.75,11/17/2023 2:05:09 PM,57ae7e6f939d47a7a7d0f5c56da675ce,Exit,-,c8759ea2346a4a3a9c841c4d09f7f7d2,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15929.50,11/17/2023 2:07:20 PM,f3804336955041b08608754b4043dc94,Entry,1 L,b31cedd62c944569b0ce83f3350ee8c8,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15939.50,11/17/2023 2:10:12 PM,a19e60140c3f40abb1206e67ce6fa6b1,Exit,-,924424eedabb4cc8bf31513d77e32b8b,Target1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15932.25,11/17/2023 2:13:18 PM,9d77dd62b9cd4bd1b8616f07576563a6,Entry,1 L,0442fdbdd8e249649e25ac94cc7abe46,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15922.25,11/17/2023 2:20:54 PM,d1f6e1b3389442eaabc6de66128161de,Exit,-,a4e1702eb5ba4346bb18fc504212e882,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,16051.75,11/29/2023 11:50:38 AM,a1eaf6a2fd5a422298b220c5d88c25bd,Entry,1 S,b4da78d4981e44ed84608afc6e7dd58e,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,16065.75,11/29/2023 11:53:44 AM,0e04c53d45e94ac2b9a8a92360862ba3,Exit,-,ed15da1573164c248dbe818caf5881d6,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,16067.50,11/29/2023 11:54:10 AM,c58a146005c84ee0a028af6a08eda1d1,Entry,1 L,b9a46043c7244f76bc45ef4402e66ce1,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,16057.50,11/29/2023 12:02:45 PM,bfd2f7aab7994c2684c5f669fcc88dfd,Exit,-,a8234540dc074e7cb7992d9f956a6238,Stop1,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,16077.50,11/29/2023 1:08:18 PM,93cd566389244f40ac58fc8889cebccf,Entry,1 S,807529b42f764e1abe68f9ed1540be8d,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,16066.50,11/29/2023 1:20:45 PM,60dec5153e6a49829493b95473f70116,Entry,2 S,85dd77e0d7f5435fa5d0491c4473ad61,Entry,$0.61,1,SimPaperEdge,My NinjaTrader,
